Model Name,AP,AP@.50,AP#.75,AP-S,AP-M,AP-L,AR1,AR10,AR100,AR-S,AR-M,AR-L
Yolov10_N,0.6562068264071488,1.0,0.8381303246603731,0.6808580858085809,0.654955355091025,-1.0,0.06818181818181818,0.718181818181818,0.718181818181818,0.7,0.72,-1.0
Yolov10_M,0.7052118362795721,1.0,0.916068728180172,0.6143564356435643,0.7160168461138692,-1.0,0.08863636363636362,0.7431818181818182,0.7431818181818182,0.675,0.7500000000000001,-1.0
Yolov10_S,0.7011973848367131,1.0,0.8852293548539915,0.700990099009901,0.7040439279966462,-1.0,0.0909090909090909,0.7363636363636364,0.7363636363636364,0.7,0.74,-1.0
Yolov10_X,0.7258613499209552,1.0,0.96984698469847,0.7267326732673267,0.730414788818556,-1.0,0.09545454545454544,0.7568181818181818,0.7568181818181818,0.75,0.7575,-1.0
RtDetr,0.6956555979069444,1.0,0.9179616203253906,0.6551155115511551,0.6968677118598953,-1.0,0.09318181818181817,0.7454545454545454,0.7454545454545454,0.725,0.7475,-1.0
RetinaNet,0.5738375970515049,0.9504950495049505,0.6285158324467748,0.4601178689297501,0.5795880637871169,-1.0,0.08636363636363635,0.6090909090909091,0.6090909090909091,0.55,0.615,-1.0
EfficientDet,0.5936186237070673,0.9973597359735973,0.6590994842688433,0.43452145214521454,0.6064679412317315,-1.0,0.07272727272727272,0.6318181818181818,0.6318181818181818,0.6,0.635,-1.0
Yolov11_N,0.7060873055078448,1.0,0.9295143800094295,0.6241749174917491,0.7119887708159786,-1.0,0.09999999999999999,0.7522727272727272,0.7522727272727272,0.65,0.7625,-1.0
Yolov11_S,0.7192059552493166,1.0,0.9299858557284298,0.7138613861386138,0.7217278848628286,-1.0,0.09318181818181817,0.7545454545454546,0.7545454545454546,0.725,0.7575000000000001,-1.0
Yolov11_M,0.7174193859666504,1.0,0.9210768690088101,0.66996699669967,0.7266801241872152,-1.0,0.09318181818181817,0.7681818181818182,0.7681818181818182,0.7,0.775,-1.0
Yolov11_L,0.734396397898559,1.0,0.9290429042904291,0.7848184818481848,0.7345619070206826,-1.0,0.0909090909090909,0.7727272727272727,0.7727272727272727,0.8,0.77,-1.0
Yolov11_X,0.7071480442934482,1.0,0.9226779820839227,0.5679867986798679,0.7194359940380003,-1.0,0.09318181818181817,0.7386363636363636,0.7386363636363636,0.625,0.7499999999999999,-1.0
Combined Method,0.6701029088644398,1.0,0.916908031072385,0.7226072607260725,0.6725131584819535,-1.0,0.07727272727272727,0.7181818181818183,0.7181818181818183,0.75,0.715,-1.0
